posting_yyyymm|BUKRS|awtyp|document_count
201308|6210|MKPF|1
201307|6110|MKPF|11
201307|6110|VBRK|7
201307|1000|VBRK|6
201307|6110|RMRP|5
201307|3000|MKPF|1
201307|6200|MKPF|1
201307|2000|BKPF|1
201307|3000|RMRP|1
201306|1000|MKPF|24
201306|1000|BKPFF|10
201306|2000|BKPFF|9
201306|1000|VBRK|8
201306|2000|MKPF|3
201306|2000|VBRK|3
201306|2000|BKPF|2
201306|1000|BKPF|1
201305|1000|MKPF|4
201305|6200|BKPF|3
201305|5000|MKPF|2
201305|6210|MKPF|1
201305|5000|VBRK|1
201305|6210|RMRP|1
201304|1000|MKPF|3
201304|6200|MKPF|2
201304|1000|VBRK|2
201304|1000|BKPF|1
201304|1000|PRCHG|1
201303|1000|RMRP|260
201303|6200|RMRP|46
201303|2000|RMRP|33
201303|6210|RMRP|21
201303|1000|MKPF|18
201303|6100|RMRP|18
201303|3000|RMRP|17
201303|5000|RMRP|14
201303|3100|RMRP|14
201303|6300|RMRP|11
201303|6200|MKPF|2
201303|2000|BKPF|2
201303|1000|BKPFF|1
201303|6200|VBRK|1
201303|1000|BKPF|1
201303|1000|VBRK|1
201302|1000|MKPF|97
201302|2000|MKPF|26
201302|2000|VBRK|24
201302|1000|RMRP|19
201302|6200|MKPF|18
201302|3100|MKPF|12
201302|1000|VBRK|12
201302|6300|MKPF|7
201302|6210|MKPF|6
201302|5000|MKPF|4
201302|6210|RMRP|3
201302|5000|BKPF|2
201302|2000|RMRP|2
201302|5000|VBRK|2
201302|5000|RMRP|2
201302|6100|MKPF|2
201302|6200|VBRK|1
201302|3000|MKPF|1
201301|1000|MKPF|12
201301|1000|VBRK|10
201301|1000|BKPF|4
201301|6200|MKPF|3
201301|6200|BKPF|3
201301|6200|VBRK|2
201301|1000|RMRP|2
201301|6210|MKPF|1
201301|1000|PRCHG|1
201212|1000|MKPF|40
201212|1000|VBRK|8
201212|3100|AUAK|3
201212|1000|BKPF|3
201212|1000|RMRP|3
201212|6200|MKPF|2
201212|2000|VBRK|2
201212|1000|PRCHG|2
201212|1000|BKPFF|2
201212|3100|BKPF|1
201212|3100|PRCHG|1
201212|2000|MKPF|1
201212|3100|MKPF|1
201212|6300|MKPF|1
201212|2000|RMRP|1
201212|2000|BKPFF|1
201212|6110|BKPF|1
201211|6200|VBRK|3
201211|6200|MKPF|2
201211|6210|VBRK|1
201210|1000|BKPF|7
201210|6200|MKPF|3
201209|1000|BKPF|78
201209|6200|BKPF|4
201209|1000|MKPF|2
201209|6220|BKPF|1
201209|6210|BKPF|1
201209|6270|BKPF|1
201209|6230|BKPF|1
201208|1000|BKPF|11
201208|1000|MKPF|10
201208|5000|MKPF|9
201208|3000|MKPF|4
201208|1000|RMRP|2
201208|2000|VBRK|2
201208|1000|VBRK|2
201208|2000|BKPF|1
201208|2000|MKPF|1
201208|1000|PRCHG|1
201207|1000|MKPF|10
201207|1000|BKPF|9
201207|1000|PRCHG|4
201207|1000|VBRK|3
201207|6200|BKPF|2
201206|1000|MKPF|71
201206|1000|BKPF|16
201206|1000|AUAK|5
201206|6300|MKPF|4
201206|6210|MKPF|2
201206|3000|MKPF|2
201206|3100|MKPF|1
201206|6200|BKPF|1
201206|3100|BKPF|1
201206|5000|BKPF|1
201206|5000|MKPF|1
201206|3000|BKPF|1
201206|2000|BKPF|1
201206|6210|BKPF|1
201206|6100|BKPF|1
201206|6100|MKPF|1
201206|6200|MKPF|1
201206|6300|BKPF|1
201205|1000|MKPF|82
201205|2000|MKPF|21
201205|6200|MKPF|21
201205|1000|AUAK|11
201205|1000|BKPF|9
201205|1000|VBRK|3
201205|3100|MKPF|3
201205|1000|RMRP|3
201205|3000|MKPF|3
201205|6210|MKPF|2
201205|6100|MKPF|1
201204|1000|MKPF|23
201204|1000|BKPF|20
201204|5000|MKPF|8
201204|1000|AUAK|7
201204|1000|VBRK|6
201204|6200|MKPF|5
201204|5000|VBRK|3
201204|6300|MKPF|2
201204|2000|BKPF|2
201204|3100|MKPF|2
201204|6300|RMRP|2
201204|6200|RMRP|1
201204|2000|VBRK|1
201204|1000|RMRP|1
201204|6200|BKPF|1
201204|5000|RMRP|1
201204|6200|AUAK|1
201203|1000|BKPF|19
201203|2000|BKPF|1
201203|6210|BKPF|1
201202|1000|MKPF|4
201202|1000|VBRK|3
201202|1000|BKPF|3
201201|1000|MKPF|5
201201|2000|VBRK|3
201201|6200|VBRK|2
201201|3100|VBRK|1
201201|1000|BKPF|1
201201|1000|RMRP|1
201112|6200|MKPF|20
201112|6200|VBRK|13
201112|6300|MKPF|9
201112|1000|MKPF|5
201112|3100|BKPF|5
201112|1000|BKPF|5
