posting_yyyymm|WERKS|BWART|movement_rows
201003|1000|311|4
201003|6300|601|4
201003|1000|201|3
201003|6200|653|3
201003|6210|101|3
201003|6210|459|2
201003|3100|101|2
201003|6200|459|2
201003|6200|651|2
201003|6210|653|2
201003|6300|459|2
201003|1000|321|2
201003|6210|601|2
201003|3100|601|1
201003|6100|101|1
201003|2000|561|1
201003|6300|653|1
201003|1000|102|1
201003|6200|161|1
201003|2000|643|1
201003|6300|651|1
201003|6300|161|1
201003|6210|651|1
201003|1000|602|1
201003|6210|161|1
201002|3100|101|10
201002|3100|601|5
201002|1000|561|4
201002|3100|653|4
201002|6200|101|3
201002|1000|101|3
201002|1000|412|2
201002|1000|601|2
201002|3100|651|1
201002|3100|102|1
201001|1000|601|19
201001|1000|101|17
201001|1000|561|14
201001|1000|412|12
201001|3100|601|8
201001|1000|161|5
201001|3100|101|4
201001|6300|101|4
201001|1000|501|3
201001|3100|653|3
201001|1000|102|2
201001|1000|602|2
201001|1000|702|2
201001|1000|459|2
201001|3100|651|1
201001|1000|201|1
201001|3100|561|1
201001|5000|101|1
201001|1000|562|1
201001|1000|651|1
201001|6300|161|1
200912|1000|101|23
200912|3100|601|16
200912|1000|561|13
200912|3100|561|11
200912|1000|601|10
200912|1000|412|8
200912|1000|653|7
200912|3100|413|4
200912|1000|309|2
200912|1000|413|2
200912|1000|261|2
200912|1000|562|1
200912|1000|102|1
200912|1000|201|1
200912|3100|101|1
200911|1000|601|26
200911|1000|561|23
200911|1000|101|21
200911|1000|653|6
200911|1000|201|2
200911|1000|311|2
200911|1000|541|2
200911|1000|543|1
200911|1000|651|1
200911|1000|105|1
200911|1000|161|1
200911|1000|103|1
200910|1000|541|26
200910|1000|601|23
200910|1000|561|22
200910|1000|101|20
200910|1000|543|12
200910|1000|412|10
200910|6200|601|9
200910|6200|101|7
200910|1000|301|4
200910|2000|301|4
200910|1000|102|4
200910|1000|653|2
200910|2000|561|2
200910|3100|101|2
200910|1000|460|2
200910|1000|542|2
200910|1000|343|2
200910|1000|453|2
200910|1000|311|2
200910|1000|454|2
200910|1000|313|2
200910|1000|459|2
200910|6200|412|2
200910|1000|344|2
200910|2000|601|1
200910|2000|101|1
200910|1000|315|1
200910|3000|561|1
200910|5000|601|1
200910|3000|601|1
200910|6200|561|1
200910|1000|161|1
200910|3100|601|1
200910|3100|561|1
200910|6200|501|1
200909|1000|412|100
200909|1000|601|84
200909|1000|561|48
200909|1000|541|48
200909|3100|412|44
200909|2000|344|34
200909|5000|412|34
