posting_yyyymm|VGABE|werks|history_rows
201003|1|6100|1
201002|1|3100|9
201002|1|6200|3
201002|1|1000|3
201002|2|6200|2
201002|1|[bla|1
201002|2|[bla|1
201001|1|1000|20
201001|2|1000|7
201001|1|6300|5
201001|1|3100|4
201001|2|3100|3
201001|1|[bla|2
201001|2|6300|2
201001|1|5000|1
200912|1|1000|21
200912|2|1000|12
200912|2|[bla|2
200912|1|[bla|2
200912|1|3100|1
200911|1|1000|24
200911|8|[bla|17
200911|2|1000|3
200911|7|1000|1
200910|1|1000|17
200910|2|6300|15
200910|7|1000|12
200910|2|3100|9
200910|1|6200|7
200910|2|6210|5
200910|2|6200|3
200910|1|3100|2
200910|2|[bla|1
200910|2|2000|1
200910|1|[bla|1
200910|1|2000|1
200909|1|1000|42
200909|1|2000|39
200909|1|3000|38
200909|1|6300|34
200909|1|6200|32
200909|1|5000|29
200909|1|6210|28
200909|1|6100|26
200909|1|3100|26
200909|1|[bla|12
200909|7|1000|11
200909|2|1000|10
200909|2|5000|2
200909|2|3100|2
200909|2|6300|1
200909|2|6200|1
200909|2|2000|1
200909|2|3000|1
200908|1|1000|62
200908|7|1000|8
200908|2|6210|4
200908|2|1000|4
200908|2|3100|3
200908|1|3100|3
200908|2|[bla|3
200908|2|6300|2
200908|1|[bla|2
200908|4|[bla|2
200908|8|[bla|2
200908|1|3000|1
200908|6|1000|1
200908|1|2000|1
200908|2|6200|1
200907|1|1000|101
200907|6|[bla|28
200907|2|1000|27
200907|1|2000|26
200907|8|[bla|20
200907|2|5000|8
200907|1|5000|8
200907|1|3100|6
200907|2|2000|6
200907|2|3100|6
200907|1|[bla|3
200907|2|[bla|3
200907|1|6200|2
200907|1|6300|1
200907|2|6300|1
200907|6|1000|1
200906|1|1000|114
200906|8|[bla|22
200906|6|[bla|21
200906|1|[bla|20
200906|1|6300|20
200906|1|2000|14
200906|2|1000|12
200906|7|1000|12
200906|2|6300|10
200906|1|3100|4
200906|2|3100|2
200906|1|6210|2
200906|1|3000|2
200906|1|5000|2
200906|4|[bla|1
200906|1|6200|1
200906|2|[bla|1
200906|2|2000|1
200905|1|1000|128
200905|2|1000|25
200905|1|5000|13
200905|1|2000|13
200905|7|1000|13
200905|1|[bla|12
200905|6|[bla|9
200905|8|[bla|8
200905|2|2000|5
200905|1|6210|3
200905|1|3100|3
200905|2|[bla|2
200905|1|6200|2
200905|4|[bla|2
200905|1|3000|1
200905|2|5000|1
200905|6|2000|1
200904|1|1000|41
200904|2|1000|14
200904|1|[bla|11
200904|1|2000|3
200904|4|[bla|1
200904|2|[bla|1
200903|1|1000|3
200903|6|1000|3
200903|1|[bla|2
200903|8|[bla|2
200903|2|1000|1
200903|1|2000|1
200903|2|[bla|1
200903|2|2000|1
